무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감계힐스테이트1차 경로당,35.3036139,128.5977678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감계힐스테이트3차 아파트 경로당,35.30298,128.588555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감계아내아파트,35.303006,128.591438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한1차경로당,35.3517614,128.6085325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북면노인회,35.3532804,128.6095777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중촌경로당,35.3685175,128.6045483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산도서관,37.64249,126.63939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대명4동행정복지센터,35.8460194,128.5695409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서봉 마을회관,35.230264,127.213375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원머리 경로당,35.1311934,126.933335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정남도서관,37.1683011,126.9830617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대명4동경로당,35.849836,128.5752771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌휴먼시아1단지 경로당,37.4496177,126.8923398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동양2차 경로당,37.4546065,126.8875783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가우경로당,34.53483,126.779891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가리대할머니 경로당,37.4495988,126.8788949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가리대 경로당,37.4495999,126.8789107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휴먼시아2단지 경로당,37.4518627,126.8828477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부경로당,35.3509592,128.7238994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유청경로당,35.3457793,128.7446806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회봉여성경로당,35.2193329,128.5678631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화란남성경로당,35.2187895,128.5594227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화란여성경로당,35.2187895,128.5594227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉화여성경로당,35.2213918,128.5692206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무학경로당,35.2166245,128.5598601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연계마을 남여경로당,35.2207347,128.557852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일우경로당,35.2267763,128.570985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고등포경로당,35.3209923,128.6999366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남포경로당,35.312202,128.7102572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신곡경로당,35.3308135,128.7357348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕현경로당,35.3378462,128.7292155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월림경로당,35.3335096,128.7324527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신곡부인경로당,35.3307449,128.735487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용등경로당,35.3286953,128.7386061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중포마을경로당,35.3251102,128.7229719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신안경로당,35.1756697,128.7872717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
음양2리 노인회,37.1460922,127.0187048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청담경로당,37.5251755,127.0442555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
